TerritoryID,Name,CountryRegionCode,Group,SalesYTD,SalesLastYear,CostYTD,CostLastYear,rowguid,ModifiedDate
1,Northwest,US,North America,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,00:00.0,0,43689A10-E30B-497F-B0DE-11DE20267FF7,00:00.0
2,Northeast,US,North America,20:32.6,###############################################################################################################################################################################################################################################################,00:00.0,0,00FB7309-96CC-49E2-8363-0A1BA72486F2,00:00.0
3,Central,US,North America,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,00:00.0,0,DF6E7FD8-1A8D-468C-B103-ED8ADDB452C1,00:00.0
4,Southwest,US,North America,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,00:00.0,0,DC3E9EA0-7950-4431-9428-99DBCBC33865,00:00.0
5,Southeast,US,North America,02:09.6,###############################################################################################################################################################################################################################################################,00:00.0,0,6DC4165A-5E4C-42D2-809D-4344E0AC75E7,00:00.0
6,Canada,CA,North America,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,00:00.0,0,06B4AF8A-1639-476E-9266-110461D66B00,00:00.0
7,France,FR,Europe,###############################################################################################################################################################################################################################################################,14:32.6,00:00.0,0,BF806804-9B4C-4B07-9D19-706F2E689552,00:00.0
8,Germany,DE,Europe,###############################################################################################################################################################################################################################################################,00:02.9,00:00.0,0,6D2450DB-8159-414F-A917-E73EE91C38A9,00:00.0
9,Australia,AU,Pacific,###############################################################################################################################################################################################################################################################,27:44.6,00:00.0,0,602E612E-DFE9-41D9-B894-27E489747885,00:00.0
10,United Kingdom,GB,Europe,###############################################################################################################################################################################################################################################################,31:14.9,00:00.0,0,05FC7E1F-2DEA-414E-9ECD-09D150516FB5,00:00.0